DCT2_algorithm;8;16;32;64;128;256;512;1024;2048;4096
Custom;14.800.000;83.000.000;429.300.000;1.936.941.176;9.082.600.000;65.263.384.615;499.062.571.429;4.264.790.539.007;31.498.339.728.070;251.708.783.066.667
Fast;11.800.000;19.333.333;143.900.000;466.176.471;255.333.333;989.038.462;4.789.000.000;21.807.439.716;93.554.815.789;381.049.800.000
Lee;10.200.000;22.500.000;71.200.000;291.294.118;273.866.667;1.134.846.154;5.874.071.429;34.403.319.149;119.189.701.754;525.664.400.000
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
DCT2_algorithm;Custom;Fast;Lee;;;;;;;
8;14.800.000;11.800.000;10.200.000;;;;;;;
16;83.000.000;19.333.333;22.500.000;;;;;;;
32;429.300.000;143.900.000;71.200.000;;;;;;;
64;1.936.941.176;466.176.471;291.294.118;;;;;;;
128;9.082.600.000;255.333.333;273.866.667;;;;;;;
256;65.263.384.615;989.038.462;1.134.846.154;;;;;;;
512;499.062.571.429;4.789.000.000;5.874.071.429;;;;;;;
1024;4.264.790.539.007;21.807.439.716;34.403.319.149;;;;;;;
2048;31.498.339.728.070;93.554.815.789;119.189.701.754;;;;;;;
4096;251.708.783.066.667;381.049.800.000;525.664.400.000;;;;;;;
